ID	version	HIP	TYC	UCAC	TWOMASS	SDSS	ALLWISE	GAIA	APASS	KIC	objType	typeSrc	ra	dec	POSflag	pmRA	e_pmRA	pmDEC	e_pmDEC	PMflag	plx	e_plx	PARflag	gallong	gallat	eclong	eclat	Bmag	e_Bmag	Vmag	e_Vmag	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	TWOMflag	prox	w1mag	e_w1mag	w2mag	e_w2mag	w3mag	e_w3mag	w4mag	e_w4mag	GAIAmag	e_GAIAmag	Tmag	e_Tmag	TESSflag	SPFlag	Teff	e_Teff	logg	e_logg	MH	e_MH	rad	e_rad	mass	e_mass	rho	e_rho	lumclass	lum	e_lum	d	e_d	ebv	e_ebv	numcont	contratio	disposition	duplicate_id	priority	eneg_EBV	epos_EBV	EBVflag	eneg_Mass	epos_Mass	eneg_Rad	epos_Rad	eneg_rho	epos_rho	eneg_logg	epos_logg	eneg_lum	epos_lum	eneg_dist	epos_dist	distflag	eneg_Teff	epos_Teff	TeffFlag	gaiabp	e_gaiabp	gaiarp	e_gaiarp	gaiaqflag	starchareFlag	VmagFlag	BmagFlag	splists	e_RA	e_Dec	RA_orig	Dec_orig	e_RA_orig	e_Dec_orig	raddflag	wdflag	objID
363838130	20190415			371-118234	18073292-1557464			4145870293808914688			STAR	tmgaia2	271.886823967425	-15.963074116332	tmgaia2	-618.435	0.135643	-347.1	0.10935	gaia2	125.587	0.070501	gaia2	13.7578978941928	2.14707991711628	271.829552785682	7.46422490247965			14.24	0.2											8.639	0.024	8.085	0.044	7.827	0.027	AAA-111-111-000-0-0										11.878	0.000768	10.4655	0.00742685	cdwrf	cdwrf	3080.0	157.0	5.0912	0.0298575			0.185635	0.00571034	0.155043	0.0200872	24.2366	0.914235	DWARF	0.00279394141	0.0007462649	7.96076	0.0045	0.0	0.0	2876	0.350732058			0.0156281311	0.0	0.0												0.0045	0.0045	bj2018			cdwrf	13.8023	0.003887	10.5803	0.001847	1		sblink		cooldwarfs_v8	2.12414151231749	1.69616714249254	271.884054466832	-15.9645685923732	0.0685066237334038	0.0649016151286957	1	0	1428836019
88099283	20190415			555-047277	09535523+2056460	1237667542289940545		628080246633611520	45029830		STAR	tmgaia2	148.479885814757	20.9463333877491	tmgaia2	-345.916	0.212366	392.797	0.30588	gaia2	104.501	0.115272	gaia2	211.721592616514	49.2065073183173	143.450612603559	7.68805410560571	15.891	0.049	14.081	0.033	17.3666	0.0130417	16.1124	0.00880906	13.5146	0.00154208	11.7467	0.000463048	12.6686	0.01204	9.208	0.022	8.6	0.021	8.326	0.018	AAA-212-111-000-0-0										12.378	0.000793	10.966	0.00735444	cdwrf	cdwrf	3089.0	157.0	5.10574	0.0331749			0.178567	0.00531061	0.148344	0.0200347	26.0535	1.20602	DWARF	0.00261558453	0.000691587	9.56662	0.01063	0.0	0.0	27	0.0565586			0.012007	0.0	0.0														bj2018			cdwrf	14.2827	0.005669	11.0791	0.001434	1		cdwrf	apassdr9	cooldwarfs_v8	3.35081149239735	4.74502325339304	148.478291066334	20.9480246044778	0.150044544187643	0.191930132185249	1	0	139252305
397052407	20190415			454-051105	12141654+0037263	1237648675042623498		3698534434669937024			STAR	tmgaia2	183.56895658106	0.62399055462273	tmgaia2	-951.927	0.225744	-284.286	0.131395	gaia2	123.775	0.107538	gaia2	282.79633751927	62.0341662097097	183.027176290089	1.99154253585079			13.87	0.2	17.0761	0.00990075	15.6623	0.00644749	15.3321	0.010709	11.2431	0.000671548	10.9717	0.00172877	8.456	0.026	7.86	0.049	7.54	0.027	AAA-111-111-000-0-0										11.8394	0.000476	10.3742	0.00743855	cdwrf	cdwrf	3011.0	157.0	5.04576	0.0221675			0.210395	0.0064829	0.179375	0.0201283	19.26	0.387552	DWARF	0.003277997	0.0008915035	8.07732	0.00707	0.0	0.0	30	0.0229837783			0.0	0.0	0.0														bj2018			cdwrf	13.8848	0.004562	10.5017	0.001893	1		cdwrf		cooldwarfs_v8	3.50013727967678	2.03745545153777	183.564857763379	0.622766547042801	0.0858744513072227	0.0582538367383965	1	0	145343817
52183206	20190415				01031971+6221557			522864272037653504			STAR	tmgaia2	15.8326427531534	62.3655086665766	tmgaia2	730.74	0.163489	86.3524	0.224973	gaia2	101.637	0.0806446	gaia2	124.310528084362	-0.474400880468955	46.3946918591815	49.6835716068917			13.64	0.2											8.611	0.027	8.014	0.023	7.718	0.02	AAA-111-111-000-0-0										11.9238	0.003349	10.482	0.00929935	cdwrf	cdwrf	3044.0	157.0	5.01139	0.0173421			0.232195	0.00695714	0.201852	0.0200931	16.1241	0.160018	DWARF	0.00417041266	0.00111735309	9.83614	0.00786	0.0	0.0	741	0.249135211			0.016543204	0.0	0.0												0.00786	0.00786	bj2018			cdwrf	13.9068	0.017021	10.6032	0.006197	1		cdwrf		cooldwarfs_v8	2.96381095974687	3.48935239828405	15.8394259399482	62.3658806266299	0.102395777292058	0.125868072871702	1	0	14392547
352617553	20190415				20260528+5834224	1237672025697681483		2188318517720321664	57492017		STAR	tmgaia2	306.522091849016	58.5729664931795	tmgaia2	261.08	0.101034	542.99	0.102046	gaia2	104.318	0.05241	gaia2	93.7415067187612	11.7034557010425	351.745174892863	71.7261992210858	15.817	0.099	13.993	0.049	17.343	0.0121302	15.4884	0.00558674	15.4133	0.0120953	15.0546	0.0131872	12.8384	0.0120512	9.029	0.039	8.483	0.073	8.095	0.021	AAA-111-111-000-0-0										12.3653	0.000435	10.9072	0.00732119	cdwrf	cdwrf	3025.0	157.0	5.07178	0.0270269			0.195698	0.00588235	0.164771	0.0200624	21.9848	0.702937	DWARF	0.00288914284	0.0007784485	9.58341	0.00485	0.0	0.0	364	0.309240252			0.0246543456	0.0	0.0												0.00485	0.00485	bj2018			cdwrf	14.381	0.002153	11.0317	0.001285	1		cdwrf	apassdr9	cooldwarfs_v8	1.79610546194747	1.58264044461081	306.524247713874	58.5753043848542	0.0449469861565518	0.0541734487447574	1	0	403404499
242941982	20190415				03524169+1701056			43574131143039104			STAR	tmgaia2	58.1739657879894	17.0178259537185	tmgaia2	433.202	0.272461	-645.62	0.172102	gaia2	103.38	0.128671	gaia2	173.099113085061	-27.7100105257706	59.6682230463857	-3.13307415612419			14.34	0.2											8.933	0.027	8.375	0.026	8.053	0.023	AAA-111-111-000-0-0										12.1893	0.000634	10.7745	0.00738965	cdwrf	cdwrf	3087.0	157.0	5.06299	0.0253671			0.2005	0.00607628	0.169492	0.0200815	21.0284	0.587515	DWARF	0.00328904623	0.000873898331	9.67035	0.012125	0.0	0.0	51	0.00295200828			0.0	0.0	0.0														bj2018			cdwrf	14.0954	0.003908	10.888	0.001663	1		cdwrf		cooldwarfs_v8	4.27177832695825	2.66831230058759	58.1759163720476	17.0150462102122	0.118578197718528	0.0624671266031251	1	0	53010310
233068870	20190415				18021660+6415445	1237671772295135480		2161121135533953536	58887664		STAR	tmgaia2	270.569186207631	64.2622885875507	tmgaia2	196.045	0.120835	-383.606	0.108222	gaia2	128.487	0.0575567	gaia2	93.7431330759981	29.5388840340324	276.142595780673	87.6894243247147	15.107	0.08	13.373	0.046	16.6858	0.00864988	15.2746	0.00513854	12.977	0.00220686	11.1668	0.00076322	12.0654	0.00977267	8.541	0.024	7.962	0.023	7.652	0.02	AAA-111-111-000-0-0										11.7727	0.000596	10.3412	0.00753594	cdwrf	cdwrf	3062.0	157.0	5.07312	0.0273328			0.194978	0.00583983	0.164068	0.020056	22.1344	0.725533	DWARF	0.00301083317	0.0008028872	7.78113	0.00351	0.0	0.0	74	0.0113290185			0.07546953	0.0	0.0												0.00351	0.00351	bj2018			cdwrf	13.7232	0.00405	10.4593	0.002305	1		cdwrf	apassdr9	cooldwarfs_v8	2.21237617486631	1.67842637017711	270.571129969573	64.2606369634914	0.0553843824150193	0.0575045356898237	1	0	182231423
411248800	20190415			479-051785	13003350+0541081	1237654881265254407		3705324881043314304			STAR	tmgaia2	195.139671037097	5.68555646160736	tmgaia2	-939.561	0.788594	227.32	0.229564	gaia2	116.81	0.197396	gaia2	309.118902321502	68.4476692937827	191.706659628618	11.2021733651173			13.68	0.2	16.849	0.0102282	15.998	0.00799149	12.8179	0.000925062	11.1157	0.000948565	10.8471	0.0015286	8.553	0.035	7.966	0.047	7.66	0.031	AAA-111-111-000-0-0										11.7671	0.001211	10.3668	0.0073709	cdwrf	cdwrf	3092.0	157.0	5.04495	0.021614			0.210873	0.00662555	0.179857	0.0201717	19.1807	0.350055	DWARF	0.0036618	0.0009800486	8.55887	0.01457	0.0	0.0	39	0.0157706514			0.0150194075	0.0	0.0														bj2018			cdwrf	13.676	0.003224	10.4797	0.001572	1		cdwrf		cooldwarfs_v8	12.2412690529116	3.55983908762185	195.135605705898	5.68653521472204	0.270825125682272	0.106621757612391	1	0	147367380
89257479	20190415			278-227158	20501615-3424424			6779821003058453120	17333702		STAR	tmgaia2	312.567333562171	-34.4118333170939	tmgaia2	335.613	0.133275	-296.944	0.0963204	gaia2	104.071	0.0868939	gaia2	9.09880205298045	-38.4305230409304	305.504640417945	-16.0702534958514	15.493	0.126	13.672	0.034											8.821	0.027	8.272	0.046	7.997	0.02	AAA-111-111-000-0-0										12.0651	0.000455	10.6543	0.00733077	cdwrf	cdwrf	3093.0	157.0	5.0571	0.0246278			0.20381	0.00610727	0.172775	0.0200644	20.4082	0.542678	DWARF	0.00342503772	0.0009062751	9.6062	0.00808	0.0	0.0	119	0.0512785576			0.0133093111	0.0	0.0												0.00807	0.00809	bj2018			cdwrf	13.9596	0.002626	10.7667	0.001343	1		cdwrf	apassdr9	cooldwarfs_v8	2.16366288057991	1.4937653069704	312.569085084639	-34.4131118384751	0.0694348744073449	0.0488540475902311	1	0	1708961853
328465904	20190415			474-004350	03132299+0446293	1237667227692695572		3179036008830848			STAR	tmgaia2	48.3454896773308	4.77481771592985	tmgaia2	1741.86	0.167646	86.0172	0.151181	gaia2	116.154	0.08816	gaia2	175.41999396902	-43.1733724418823	47.2395589133749	-12.6974643719104			13.95	0.2	17.4608	0.0101745	15.0603	0.00391468	13.9494	0.00950674	14.1848	0.0115465	13.2956	0.0127474	8.775	0.02	8.208	0.038	7.833	0.024	AAA-111-111-000-0-0										12.1232	0.00105	10.6701	0.00787291	cdwrf	cdwrf	3022.0	157.0	5.06767	0.0260793			0.197919	0.00601881	0.166948	0.0200845	21.5337	0.634379	DWARF	0.00294338819	0.0007958018	8.60715	0.00658	0.0	0.0	36	0.00227953074			0.0134817343	0.0	0.0														bj2018			cdwrf	14.1528	0.008483	10.7954	0.003325	1		cdwrf		cooldwarfs_v8	2.60194457908629	2.34435244767053	48.3530154703085	4.77518810876522	0.0781462223246625	0.0700552108594092	1	0	44115111
